RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,WaterCheck,CRC972670.1,CRC972670.1-1,O31/0272-M1,1 day Volume,3888.0 m3,34422.6 m3,785.40%,14/01/2019 0:00,14/01/2019 0:00,14/01/2019 0:00
19-Jan-2019,AgHub/FarmWorks,CRC971074.2,CRC971074.2-1,K37/0419-M1,Take Rate,15.3 l/s,48.5 l/s,216.80%,13/01/2019 9:30,11/01/2019 0:00,17/01/2019 22:30
19-Jan-2019,AgHub/FarmWorks,CRC971074.2,CRC971074.2-2,K37/0419-M1,Take Rate,30.6 l/s,48.5 l/s,58.40%,13/01/2019 9:30,11/01/2019 0:00,17/01/2019 18:30
19-Jan-2019,DataCol,CRC970828.1,CRC970828.1-1,L36/2096-M1,Take Rate - Low Flow Ban,0 l/s,0.1 l/s,-,16/01/2019 10:30,16/01/2019 10:30,17/01/2019 18:15
19-Jan-2019,DataCol,CRC961364,CRC961364-1,M36/8085-M1,Take Rate,20.0 l/s,22.4 l/s,11.80%,8/01/2019 0:00,8/01/2019 0:00,8/01/2019 7:45
19-Jan-2019,Loncel,CRC961265,CRC961265-1,L37/0594-M1,Take Rate,17.0 l/s,17.4 l/s,2.10%,11/01/2019 11:00,11/01/2019 10:45,18/01/2019 2:15
19-Jan-2019,Loncel,CRC961265,CRC961265-1,L37/0594-M1,1 day Volume,1408.0 m3,1463.0 m3,3.90%,12/01/2019 0:00,12/01/2019 0:00,12/01/2019 0:00
19-Jan-2019,WaterCheck,CRC952022.1,CRC952022.1-1,N32/0350-M1,1 day Volume,1728.0 m3,2187.0 m3,26.60%,13/01/2019 0:00,12/01/2019 0:00,13/01/2019 0:00
19-Jan-2019,DataCol,CRC951084.4,CRC951084.4-1,I40/0548-M1,Take Rate,45.0 l/s,71.7 l/s,59.30%,16/01/2019 0:00,12/01/2019 18:15,18/01/2019 0:00
19-Jan-2019,DataCol,CRC951084.4,CRC951084.4-1,I40/0548-M1,1 day Volume,1944.0 m3,5821.0 m3,199.40%,17/01/2019 0:00,13/01/2019 0:00,18/01/2019 0:00
