ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
642,CRC041027,Under 5l/s,Bulk Import 25/01/660,CH\KatieSi,25/01/2019,30/06/2019
643,CRC041033,Complicated Allocation,Bulk Import 25/01/661,CH\KatieSi,25/01/2019,30/06/2019
644,CRC041037,Associated Permits Confirmed,Bulk Import 25/01/662,CH\KatieSi,25/01/2019,30/06/2019
645,CRC041106.1,Associated Permits Confirmed,Bulk Import 25/01/663,CH\KatieSi,25/01/2019,30/06/2019
646,CRC041122,Consents with Associated WAPS,Bulk Import 25/01/664,CH\KatieSi,25/01/2019,30/06/2019
647,CRC041167,Regionally Significant,Bulk Import 25/01/665,CH\KatieSi,25/01/2019,30/06/2019
648,CRC041251,Complicated Allocation,Bulk Import 25/01/666,CH\KatieSi,25/01/2019,30/06/2019
649,CRC041296.1,Under 5l/s,Bulk Import 25/01/667,CH\KatieSi,25/01/2019,30/06/2019
650,CRC041346,Associated Permits Confirmed,Bulk Import 25/01/668,CH\KatieSi,25/01/2019,30/06/2019
651,CRC041358.3,Consents with Associated WAPS,Bulk Import 25/01/669,CH\KatieSi,25/01/2019,30/06/2019
652,CRC041449,Regionally Significant,Bulk Import 25/01/670,CH\KatieSi,25/01/2019,30/06/2019
653,CRC041517,Regionally Significant,Bulk Import 25/01/671,CH\KatieSi,25/01/2019,30/06/2019
654,CRC041568,Consents with Associated WAPS,Bulk Import 25/01/672,CH\KatieSi,25/01/2019,30/06/2019
655,CRC041613,Under 5l/s,Bulk Import 25/01/673,CH\KatieSi,25/01/2019,30/06/2019
656,CRC041639,Under 5l/s,Bulk Import 25/01/674,CH\KatieSi,25/01/2019,30/06/2019
657,CRC041664.1,Consents with Associated WAPS,Bulk Import 25/01/675,CH\KatieSi,25/01/2019,30/06/2019
658,CRC041709,Consents with Associated WAPS,Bulk Import 25/01/676,CH\KatieSi,25/01/2019,30/06/2019
659,CRC041730,Consents with Associated WAPS,Bulk Import 25/01/677,CH\KatieSi,25/01/2019,30/06/2019
660,CRC041733,Consents with Associated WAPS,Bulk Import 25/01/678,CH\KatieSi,25/01/2019,30/06/2019
661,CRC041777,Associated Permits Assumed,Bulk Import 25/01/679,CH\KatieSi,25/01/2019,30/06/2019
662,CRC041784.5,Regionally Significant,Bulk Import 25/01/680,CH\KatieSi,25/01/2019,30/06/2019
663,CRC041798,Associated Permits Confirmed,Bulk Import 25/01/681,CH\KatieSi,25/01/2019,30/06/2019
664,CRC041813,Under 5l/s,Bulk Import 25/01/682,CH\KatieSi,25/01/2019,30/06/2019
665,CRC041814,Associated Permits Confirmed,Bulk Import 25/01/683,CH\KatieSi,25/01/2019,30/06/2019
666,CRC041831.1,Complicated Allocation,Bulk Import 25/01/684,CH\KatieSi,25/01/2019,30/06/2019
667,CRC041891,Complicated Allocation,Bulk Import 25/01/685,CH\KatieSi,25/01/2019,30/06/2019
668,CRC041929,Associated Permits Confirmed,Bulk Import 25/01/686,CH\KatieSi,25/01/2019,30/06/2019
669,CRC041954.1,Complicated Allocation,Bulk Import 25/01/687,CH\KatieSi,25/01/2019,30/06/2019
670,CRC041979,Associated Permits Assumed,Bulk Import 25/01/688,CH\KatieSi,25/01/2019,30/06/2019
671,CRC042037.1,Complicated Allocation,Bulk Import 25/01/689,CH\KatieSi,25/01/2019,30/06/2019
672,CRC042038.2,Consents with Associated WAPS,Bulk Import 25/01/690,CH\KatieSi,25/01/2019,30/06/2019
673,CRC042081,Regionally Significant,Bulk Import 25/01/691,CH\KatieSi,25/01/2019,30/06/2019
674,CRC042094.1,Complicated Allocation,Bulk Import 25/01/692,CH\KatieSi,25/01/2019,30/06/2019
675,CRC042124.1,Consents with Associated WAPS,Bulk Import 25/01/693,CH\KatieSi,25/01/2019,30/06/2019
676,CRC042136,Associated Permits Assumed,Bulk Import 25/01/694,CH\KatieSi,25/01/2019,30/06/2019
677,CRC042190.2,Complicated Allocation,Bulk Import 25/01/695,CH\KatieSi,25/01/2019,30/06/2019
678,CRC042194.2,Consents with Associated WAPS,Bulk Import 25/01/696,CH\KatieSi,25/01/2019,30/06/2019
679,CRC042260.1,Complicated Allocation,Bulk Import 25/01/697,CH\KatieSi,25/01/2019,30/06/2019
680,CRC042296.4,Associated Permits Confirmed,Bulk Import 25/01/698,CH\KatieSi,25/01/2019,30/06/2019
681,CRC042424.1,Complicated Allocation,Bulk Import 25/01/699,CH\KatieSi,25/01/2019,30/06/2019
682,CRC042448.2,Associated Permits Assumed,Bulk Import 25/01/700,CH\KatieSi,25/01/2019,30/06/2019
683,CRC042459,Under 5l/s,Bulk Import 25/01/701,CH\KatieSi,25/01/2019,30/06/2019
684,CRC042504,Complicated Allocation,Bulk Import 25/01/702,CH\KatieSi,25/01/2019,30/06/2019
